kab_kota,provinsi,stunting,melahirkan_tidak_difaskes,kemiskinan,konsumsi_protein_per_kapita,pangan_hewani,rls,lon,lat,regency_id,faktor_dominan,fi_Melahirkan Tidak di Faskes,fi_Kemiskinan,fi_Konsumsi Protein,fi_Pangan Hewani,fi_RLS,stunting_pred_gwrf,residual_gwrf,skor_prioritas,skor_prioritas_100,rank_prioritas,kategori_stunting
Tapanuli Selatan,Sumatera Utara,6.3,0.31,6.92,59.3,36.35,9.56,99.2669681482642,1.500669881277071,1203,Kemiskinan,0.2024275752702362,0.22327785637613223,0.20115795885615292,0.18061465218188918,0.19252195731558963,7.477840979015418,-1.1778409790154178,-0.7023113293801132,20.99118405881199,352,Rendah
Tapanuli Tengah,Sumatera Utara,24.2,0.24,11.8,60.6,48.54,8.92,98.6536872469304,1.8360245046512,1204,RLS,0.1850584872119474,0.18299219747549983,0.2130153087125749,0.16096466680802266,0.2579693397919551,26.323717549828764,-2.123717549828765,0.5820405971660265,53.07002830739434,68,Tinggi
Tapanuli Utara,Sumatera Utara,25.7,0.04,8.21,65.4,52.46,10.31,99.06507518073552,2.001214796116423,1205,RLS,0.21334591976538533,0.20020954324119425,0.16307062241234382,0.20792199917906157,0.215451915402015,28.273789679994678,-2.573789679994679,0.23490485536861977,44.399730732351095,129,Tinggi
Labuhanbatu,Sumatera Utara,18.7,0.03,7.84,64.8,57.09,9.5,100.06160399579628,2.2856700971062605,1207,RLS,0.25505060301176724,0.11104099199710875,0.13946542672575374,0.23470392081253766,0.25973905745283254,23.076908442405607,-4.3769084424056075,-0.25932153200484637,32.055597495654936,262,Sedang
Asahan,Sumatera Utara,11.1,0.13,8.12,62.3,56.91,8.85,99.5593748214212,2.8049521927979084,1208,RLS,0.2608009630015247,0.16384800385125703,0.17035025602791545,0.13758113968295113,0.26741963743635155,11.553518441600662,-0.45351844160066257,-0.6518875863375533,22.250601642155104,342,Sedang
Simalungun,Sumatera Utara,19.6,0.15,7.72,59.2,46.93,9.73,99.02156535731616,2.9697261658941803,1209,Konsumsi Protein,0.20778696169725214,0.2073812406839674,0.2144247779406411,0.17055107150009188,0.19985594817804755,19.206874774446472,0.39312522555352913,-0.003536501371824416,38.44425779132726,189,Sedang
Dairi,Sumatera Utara,23.5,0.04,7.1,62.9,46.12,9.89,98.27919932850378,2.840526155128331,1210,RLS,0.21042632445210857,0.17652306293562234,0.16296082589542507,0.18807278475034567,0.2620170019664984,19.014196804154647,4.485803195845353,0.17446000305874226,42.89001913165964,147,Tinggi
Nias Selatan,Sumatera Utara,23.1,0.75,16.32,58.7,39.61,6.52,98.09888105219748,0.3293434586992473,1214,Kemiskinan,0.1951362668268761,0.26732196820907006,0.14726697883831202,0.20265194352474797,0.18762284260099388,26.242701694776798,-3.1427016947767967,1.367458871571273,72.68716748387462,16,Tinggi
Humbang Hasundutan,Sumatera Utara,15.7,0.13,8.44,70.2,53.4,10.13,98.57771169129884,2.26117445834988,1215,RLS,0.17615729974562047,0.2289374810525241,0.18217628466664618,0.14786406689005063,0.26486486764515854,15.655930121584436,0.04406987841556287,-0.4010248494526444,28.5163193928537,297,Sedang
Pakpak Bharat,Sumatera Utara,23.1,0.03,6.87,63.5,45.0,9.73,98.24305602925035,2.54942635808308,1216,RLS,0.12776119551554388,0.21483089891982377,0.22732064433779095,0.18658347611964882,0.2435037851071926,12.09664533681728,11.003354663182721,0.1643572138712287,42.63768502126201,149,Tinggi
Samosir,Sumatera Utara,23.4,0.0,11.63,78.4,67.73,9.61,98.72895855493812,2.562295201690942,1217,RLS,0.21149630566917466,0.18064137783502646,0.20387764980211995,0.18897592118488632,0.21500874550879268,21.6310224062226,1.7689775937774002,0.022018228419226085,39.082530043533254,184,Tinggi
