id,province_id,name,alt_name,latitude,longitude,province_name,display_name,is_kota_flag,name_norm
6202,62,KABUPATEN KOTAWARINGIN TIMUR,KABUPATEN KOTAWARINGIN TIMUR,-2.08333,112.75,Kalimantan Tengah,Kotawaringin Timur,False,KOTAWARINGIN TIMUR
6203,62,KABUPATEN KAPUAS,KABUPATEN KAPUAS,-2.01667,114.38333,Kalimantan Tengah,Kapuas,False,KAPUAS
6207,62,KABUPATEN LAMANDAU,KABUPATEN LAMANDAU,-1.83828,111.2869,Kalimantan Tengah,Lamandau,False,LAMANDAU
6209,62,KABUPATEN KATINGAN,KABUPATEN KATINGAN,-2.06667,113.4,Kalimantan Tengah,Katingan,False,KATINGAN
6301,63,KABUPATEN TANAH LAUT,KABUPATEN TANAH LAUT,-3.88333,114.86667,Kalimantan Selatan,Tanah Laut,False,TANAH LAUT
6308,63,KABUPATEN HULU SUNGAI UTARA,KABUPATEN HULU SUNGAI UTARA,-2.45,115.13333,Kalimantan Selatan,Hulu Sungai Utara,False,HULU SUNGAI UTARA
6309,63,KABUPATEN TABALONG,KABUPATEN TABALONG,-1.88333,115.5,Kalimantan Selatan,Tabalong,False,TABALONG
6502,65,KABUPATEN BULUNGAN,KABUPATEN BULUNGAN,3.0,117.16667,Kalimantan Utara,Bulungan,False,BULUNGAN
6504,65,KABUPATEN NUNUKAN,KABUPATEN NUNUKAN,4.13333,116.7,Kalimantan Utara,Nunukan,False,NUNUKAN
7109,71,KABUPATEN MINAHASA TENGGARA,KABUPATEN MINAHASA TENGGARA,1.05633,124.7925,Sulawesi Utara,Minahasa Tenggara,False,MINAHASA TENGGARA
7111,71,KABUPATEN BOLAANG MONGONDOW TIMUR,KABUPATEN BOLAANG MONGONDOW TIMUR,0.72073,124.50256,Sulawesi Utara,Bolaang Mongondow Timur,False,BOLAANG MONGONDOW TIMUR
7305,73,KABUPATEN TAKALAR,KABUPATEN TAKALAR,-5.41667,119.51667,Sulawesi Selatan,Takalar,False,TAKALAR
7307,73,KABUPATEN SINJAI,KABUPATEN SINJAI,-5.21667,120.15,Sulawesi Selatan,Sinjai,False,SINJAI
7308,73,KABUPATEN MAROS,KABUPATEN MAROS,-5.05,119.71667,Sulawesi Selatan,Maros,False,MAROS
7314,73,KABUPATEN SIDENRENG RAPPANG,KABUPATEN SIDENRENG RAPPANG,-3.85,119.96667,Sulawesi Selatan,Sidenreng Rappang,False,SIDENRENG RAPPANG
7317,73,KABUPATEN LUWU,KABUPATEN LUWU,-2.5577,121.3242,Sulawesi Selatan,Luwu,False,LUWU
7405,74,KABUPATEN KONAWE SELATAN,KABUPATEN KONAWE SELATAN,-4.19191,122.44854,Sulawesi Tenggara,Konawe Selatan,False,KONAWE SELATAN
7408,74,KABUPATEN KOLAKA UTARA,KABUPATEN KOLAKA UTARA,-3.10452,121.12427,Sulawesi Tenggara,Kolaka Utara,False,KOLAKA UTARA
7603,76,KABUPATEN MAMASA,KABUPATEN MAMASA,-2.96492,119.30631,Sulawesi Barat,Mamasa,False,MAMASA
8202,82,KABUPATEN HALMAHERA TENGAH,KABUPATEN HALMAHERA TENGAH,0.48056,128.25,Maluku Utara,Halmahera Tengah,False,HALMAHERA TENGAH
8203,82,KABUPATEN KEPULAUAN SULA,KABUPATEN KEPULAUAN SULA,-1.8646,125.69046,Maluku Utara,Kepulauan Sula,False,KEPULAUAN SULA
8207,82,KABUPATEN PULAU MOROTAI,KABUPATEN PULAU MOROTAI,2.19924,128.40546,Maluku Utara,Pulau Morotai,False,PULAU MOROTAI
9106,91,KABUPATEN SORONG SELATAN,KABUPATEN SORONG SELATAN,-1.50495,132.28638,Papua Barat,Sorong Selatan,False,SORONG SELATAN
9107,91,KABUPATEN SORONG,KABUPATEN SORONG,-1.16667,131.5,Papua Barat,Sorong,False,SORONG
9108,91,KABUPATEN RAJA AMPAT,KABUPATEN RAJA AMPAT,-0.5,130.0,Papua Barat,Raja Ampat,False,RAJA AMPAT
9109,91,KABUPATEN TAMBRAUW,KABUPATEN TAMBRAUW,-0.60515,132.48962,Papua Barat,Tambrauw,False,TAMBRAUW
9110,91,KABUPATEN MAYBRAT,KABUPATEN MAYBRAT,-1.2155,132.35092,Papua Barat,Maybrat,False,MAYBRAT
9171,91,KOTA SORONG,KOTA SORONG,-0.86507,131.25153,Papua Barat,Kota Sorong,True,SORONG
9401,94,KABUPATEN MERAUKE,KABUPATEN MERAUKE,-7.66667,139.66667,Papua,Merauke,False,MERAUKE
9402,94,KABUPATEN JAYAWIJAYA,KABUPATEN JAYAWIJAYA,-4.08333,139.08333,Papua,Jayawijaya,False,JAYAWIJAYA
9403,94,KABUPATEN JAYAPURA,KABUPATEN JAYAPURA,-3.0,139.95,Papua,Jayapura,False,JAYAPURA
9404,94,KABUPATEN NABIRE,KABUPATEN NABIRE,-3.54016,135.55511,Papua,Nabire,False,NABIRE
9409,94,KABUPATEN BIAK NUMFOR,KABUPATEN BIAK NUMFOR,-1.03333,136.0,Papua,Biak Numfor,False,BIAK NUMFOR
9410,94,KABUPATEN PANIAI,KABUPATEN PANIAI,-3.9,136.60001,Papua,Paniai,False,PANIAI
9411,94,KABUPATEN PUNCAK JAYA,KABUPATEN PUNCAK JAYA,-3.67241,137.43896,Papua,Puncak Jaya,False,PUNCAK JAYA
9412,94,KABUPATEN MIMIKA,KABUPATEN MIMIKA,-4.54357,136.56555,Papua,Mimika,False,MIMIKA
9413,94,KABUPATEN BOVEN DIGOEL,KABUPATEN BOVEN DIGOEL,-5.70519,140.36349,Papua,Boven Digoel,False,BOVEN DIGOEL
9414,94,KABUPATEN MAPPI,KABUPATEN MAPPI,-6.49971,139.34441,Papua,Mappi,False,MAPPI
9415,94,KABUPATEN ASMAT,KABUPATEN ASMAT,-5.3795,138.46344,Papua,Asmat,False,ASMAT
9416,94,KABUPATEN YAHUKIMO,KABUPATEN YAHUKIMO,-4.60403,139.58405,Papua,Yahukimo,False,YAHUKIMO
9417,94,KABUPATEN PEGUNUNGAN BINTANG,KABUPATEN PEGUNUNGAN BINTANG,-4.52167,140.29541,Papua,Pegunungan Bintang,False,PEGUNUNGAN BINTANG
9418,94,KABUPATEN TOLIKARA,KABUPATEN TOLIKARA,-3.42661,137.41699,Papua,Tolikara,False,TOLIKARA
9420,94,KABUPATEN KEEROM,KABUPATEN KEEROM,-3.3,140.61667,Papua,Keerom,False,KEEROM
9428,94,KABUPATEN MAMBERAMO RAYA,KABUPATEN MAMBERAMO RAYA,-2.23561,137.78229,Papua,Mamberamo Raya,False,MAMBERAMO RAYA
9429,94,KABUPATEN NDUGA,KABUPATEN NDUGA,-4.45093,138.10089,Papua,Nduga,False,NDUGA
9430,94,KABUPATEN LANNY JAYA,KABUPATEN LANNY JAYA,-3.91244,138.28766,Papua,Lanny Jaya,False,LANNY JAYA
9431,94,KABUPATEN MAMBERAMO TENGAH,KABUPATEN MAMBERAMO TENGAH,-2.46064,138.45245,Papua,Mamberamo Tengah,False,MAMBERAMO TENGAH
9432,94,KABUPATEN YALIMO,KABUPATEN YALIMO,-3.86037,138.47305,Papua,Yalimo,False,YALIMO
9433,94,KABUPATEN PUNCAK,KABUPATEN PUNCAK,-4.14204,137.09702,Papua,Puncak,False,PUNCAK
9434,94,KABUPATEN DOGIYAI,KABUPATEN DOGIYAI,-4.03186,135.43945,Papua,Dogiyai,False,DOGIYAI
9435,94,KABUPATEN INTAN JAYA,KABUPATEN INTAN JAYA,-3.41016,136.70837,Papua,Intan Jaya,False,INTAN JAYA
9436,94,KABUPATEN DEIYAI,KABUPATEN DEIYAI,-3.94737,135.95032,Papua,Deiyai,False,DEIYAI
